Software2;versión;procesador;velocidad;arquitectura;SISTEMA OPERATIVO;Ram;Disco Duro
7Zip;18.01;;1;64 bits;MAC;1;1
7Zip;18.01;;1;64 bits;WINDOWS;1;1
Adobe Flash Player ;28.0.0.137;Intel Core Duo;1.83;64 bits;MAC;1;1
Adobe Flash Player ;28.0.0.137;Intel Pentium 4;1.4;64 bits;WINDOWS;1;1
Adobe Reader;2018.009.20044;Intel;1.3;64 bits;MAC;1;1
Adobe Reader;2018.009.20044;Intel;1.3;64 bits;WINDOWS;1;1
Adobe Shockwave Player ;12.3.1.201;Intel;1.4;64 bits;MAC;1;1
Adobe Shockwave Player ;12.3.1.201;Intel Pentium IV;0.6;64 bits;WINDOWS;1;1
Adobe Digital Editions;4.5.7;Intel Core Duo;1.8;64 bits;MAC;1;1
Adobe Digital Editions;4.5.7;Intel Core Duo;1.8;64 bits;WINDOWS;1;1
Microsoft Silverlight;5;Intel Core Duo;1.8;64 bits;MAC;1;1
Microsoft Silverlight;5;Intel Core Duo;1.8;64 bits;WINDOWS;1;1
Eset EndPoint;6;Intel;1;64 bits;MAC;1;1
Eset EndPoint;6;Intel;1;64 bits;WINDOWS;1;1
Cliente Dameware miniremote control;9;;1;64 bits;WINDOWS;1;1
Img Burn ( solo para Equipos de escritorio);2.5.8;processor with SSE2;1;64 bits;WINDOWS;1;1
Java JRE;6up33;Pentium II;0.266;64 bits;WINDOWS;1;1
Microsoft Office Professional Edition ;2016;processor with SSE2;1;64 bits;WINDOWS;2;3
Microsoft Office Project Professional ;2016;processor with SSE2;1;64 bits;WINDOWS;2;3
Microsoft Office Visio Professional ;2016;processor with SSE2;1;64 bits;MAC;1;1
Microsoft Office Visio Professional ;2016;processor with SSE2;1;64 bits;WINDOWS;1;1
Mozilla;47;processor with SSE2;1;64 bits;MAC;1;1
Mozilla;47;processor with SSE2;1;64 bits;WINDOWS;1;1
QuickTime;7.7.3;;1;64 bits;MAC;1;1
Google Chrome;Ultima versión;processor with SSE2;1;64 bits;WINDOWS;1;1
Google Chrome;Ultima versión;processor with SSE2;1;64 bits;MAC;1;1
Reproductor de Windows Media;11;Intel Pentium II ;0.233;64 bits;WINDOWS;1;1
VideoLAN VLC media player;2.0.5;;1;64 bits;WINDOWS;1;1
VideoLAN VLC media player;2.0.5;;1;64 bits;MAC;1;1
Windows Internet Explorer;11;processor with SSE2;1;64 bits;WINDOWS;2;20
Mendeley;1.17.13;;1;64 bits;MAC;1;1
Mendeley;1.17.13;;1;64 bits;WINDOWS;1;1
Evisions application launcher ;1.1.0.25;;1;64 bits;WINDOWS;1;1
net framework;4.7.1;processor with SSE2;1;64 bits;WINDOWS;1;5
Notepad ++;7.5.4;Intel Pentium 4;1;64 bits;WINDOWS;1;1
